bench_name,bench_throughput,argparse,parse,typecheck,lower,make_synth,optimize,codegen
camera,-1,367,0,116,324,51,5304,456
conv1d,-1,333,0,119,101,8,320,119
conv2d,-1,335,0,86,185,15,940,296
convb2b,-1,351,0,94,230,21,1356,304
dot,-1,324,0,19,135,14,320,108
jacobi,-1,315,0,70,174,12,588,152
map,-1,306,0,15,89,5,136,81
matmat,-1,356,0,15,275,26,1743,176
matvec,-1,322,0,19,195,14,760,145
sharpen,-1,338,0,85,206,18,1040,317
sobel,-1,363,0,92,292,37,4075,701
