bench_name,bench_throughput,language,fmax
camera,-1,ihc,242.42
conv1d,-1,ihc,342.94
conv2d,-1,ihc,250.06
convb2b,-1,ihc,248.39
dot,-1,ihc,338.41
jacobi,-1,ihc,299.22
map,-1,ihc,546.45
matmat,-1,ihc,257.0
matvec,-1,ihc,372.44
sharpen,-1,ihc,227.95
sobel,-1,ihc,214.22
