bench_name,bench_throughput,language,alm,bram,dsp
camera,-1,ihc,2204,32,0
conv1d,-1,ihc,208,0,0
conv2d,-1,ihc,643,8,0
convb2b,-1,ihc,907,12,0
dot,-1,ihc,229,0,1
jacobi,-1,ihc,314,2,0
map,-1,ihc,20,0,0
matmat,-1,ihc,1788,59,8
matvec,-1,ihc,283,1,1
sharpen,-1,ihc,609,8,0
sobel,-1,ihc,2853,10,23
